entity,label
http://www.wikidata.org/entity/Q104804723,Noce en Basse Alsace
http://www.wikidata.org/entity/Q104804865,Retable domestique l'Annonciation
http://www.wikidata.org/entity/Q104825471,L’Asie rêvée d’Yves Saint Laurent
http://www.wikidata.org/entity/Q104831948,Saint Philip Neri in Glory among Angels
http://www.wikidata.org/entity/Q1048333,Cassiano dal Pozzo
http://www.wikidata.org/entity/Q104833337,Printemps
http://www.wikidata.org/entity/Q10484,Lyra
http://www.wikidata.org/entity/Q104842236,Q104842236
http://www.wikidata.org/entity/Q104842569,Q104842569
http://www.wikidata.org/entity/Q104846933,Q104846933
http://www.wikidata.org/entity/Q104847457,Q104847457
http://www.wikidata.org/entity/Q104848649,The Happy Accidents of the Swing
http://www.wikidata.org/entity/Q1048568,Rape of the Sabine Women
http://www.wikidata.org/entity/Q104863903,Sans titre
http://www.wikidata.org/entity/Q104870405,Mater Dolorosa
http://www.wikidata.org/entity/Q104870613,Still Life with a Calf's Head
http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q104884,Caspar David Friedrich
http://www.wikidata.org/entity/Q104891231,Girl with Cap (bust)
http://www.wikidata.org/entity/Q104891317,Minerva and the Arts
http://www.wikidata.org/entity/Q104892412,Q104892412
http://www.wikidata.org/entity/Q104911831,"Musée Saint-Raymond,Ra 44"
http://www.wikidata.org/entity/Q104919462,Louis Vagnat
http://www.wikidata.org/entity/Q1049728,Rennes Cathedral
http://www.wikidata.org/entity/Q104978241,Q104978241
http://www.wikidata.org/entity/Q104978243,Q104978243
http://www.wikidata.org/entity/Q104978244,Portrait of a Young Woman
http://www.wikidata.org/entity/Q104978245,Winter on the Creuse
http://www.wikidata.org/entity/Q104978246,Q104978246
http://www.wikidata.org/entity/Q104978247,Portrait of Mme Hanska (Eva Hanska)
http://www.wikidata.org/entity/Q1049923,marquetry
http://www.wikidata.org/entity/Q105001151,Q105001151
http://www.wikidata.org/entity/Q105001166,Q105001166
http://www.wikidata.org/entity/Q105001170,Q105001170
http://www.wikidata.org/entity/Q105010678,Q105010678
http://www.wikidata.org/entity/Q105027693,"Anne-Marie-Louise of Orleans (1627-1693), duchess of Montpensier"
http://www.wikidata.org/entity/Q105027856,Q105027856
http://www.wikidata.org/entity/Q105027880,Q105027880
http://www.wikidata.org/entity/Q105027977,Q105027977
http://www.wikidata.org/entity/Q105028043,Q105028043
http://www.wikidata.org/entity/Q105028048,"Philippe de Buyster (1595-1688), sculptor"
http://www.wikidata.org/entity/Q105028609,Henri and Charles Beaubrun making the portrait of Queen Marie-Thérèse
http://www.wikidata.org/entity/Q105037619,David Ortlieb
http://www.wikidata.org/entity/Q105045464,Portrait of the Alsatian Composer Victor Nessler
http://www.wikidata.org/entity/Q105045490,Composition (1924)
http://www.wikidata.org/entity/Q105068109,The Washing of the Feet
http://www.wikidata.org/entity/Q105069227,"Bacchus, Ariane and Venus"
http://www.wikidata.org/entity/Q105069281,Portrait of a Couple
http://www.wikidata.org/entity/Q105069361,Lot and his Daughters
http://www.wikidata.org/entity/Q105069512,Q105069512
http://www.wikidata.org/entity/Q105094657,Q105094657
http://www.wikidata.org/entity/Q105099743,The Feast in the House of Simon the Pharisee
http://www.wikidata.org/entity/Q105104857,Breton Landscape
http://www.wikidata.org/entity/Q10510932,Piazzetta San Marco
http://www.wikidata.org/entity/Q1051130,strolling
http://www.wikidata.org/entity/Q1051213,Appius Claudius Crassus Inregillensis Sabinus
